# x1 x2 x3 x4 x5 x6
# 0 1 2 3 4 5
4.000000000000000222e-01 1.000000000000000056e-01 4.123105625617661252e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e-01 1.000000000000000056e-01 5.099019513592785158e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.000000000000000888e-01 1.000000000000000056e-01 6.082762530298220227e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.000000000000000666e-01 1.000000000000000056e-01 7.071067811865475727e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.000000000000000444e-01 1.000000000000000056e-01 8.062257748298550242e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
9.000000000000000222e-01 1.000000000000000056e-01 9.055385138137417300e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000056e-01 1.004987562112088950e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000056e-01 2.000000000000000111e-01 2.236067977499789916e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000111e-01 2.000000000000000111e-01 2.828427124746190624e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.000000000000000444e-01 2.000000000000000111e-01 3.605551275463989569e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000222e-01 2.000000000000000111e-01 4.472135954999579832e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e-01 2.000000000000000111e-01 5.385164807134504850e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.000000000000000888e-01 2.000000000000000111e-01 6.324555320336759934e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.000000000000000666e-01 2.000000000000000111e-01 7.280109889280519386e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.000000000000000444e-01 2.000000000000000111e-01 8.246211251235322504e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
9.000000000000000222e-01 2.000000000000000111e-01 9.219544457292887518e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
